年龄,性别,全国,北京,天津,河北,山西,内蒙古,辽宁,吉林,黑龙江,上海,江苏,浙江,安徽,福建,江西,山东,河南,湖北,湖南,广东,广西,海南,重庆,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆
30-34岁,小计,97138203,1824339,1035675,4816542,2497375,1967778,3275788,2171403,3061423,2128116,5529757,4459956,4007746,3048083,3592953,6501667,5997389,3918104,4329801,8934834,3481060,675851,1456089,4874122,2403607,3931583,252326,2542726,1599412,489129,539244,1794325
30-34岁,男,49521822,955672,581531,2455915,1287390,1041581,1667749,1106604,1563415,1113853,2755438,2296739,1989930,1559374,1779553,3276452,2948021,1976252,2178922,4702015,1800487,356762,708598,2421335,1226542,2074103,132424,1306244,810650,254853,275407,918011
30-34岁,女,47616381,868667,454144,2360627,1209985,926197,1608039,1064799,1498008,1014263,2774319,2163217,2017816,1488709,1813400,3225215,3049368,1941852,2150879,4232819,1680573,319089,747491,2452787,1177065,1857480,119902,1236482,788762,234276,263837,876314
35-39岁,小计,118025959,1720601,1045560,5236791,3289042,2540644,3720098,2557636,3938760,1921297,6405159,5172500,5351187,3604164,4029729,7911653,7374290,4857877,5698032,9533299,3716207,703749,2852283,8077512,3095821,4379894,248672,3293127,2384986,569020,592210,2204159
35-39岁,男,60391104,916825,580926,2640674,1686158,1335067,1897745,1302826,2019732,1025778,3185636,2652552,2672730,1847755,2032118,4003096,3683925,2465831,2944331,4958950,1947361,375556,1423486,4072193,1611623,2328062,130917,1691341,1203659,301903,305743,1146605
35-39岁,女,57634855,803776,464634,2596117,1602884,1205577,1822353,1254810,1919028,895519,3219523,2519948,2678457,1756409,1997611,3908557,3690365,2392046,2753701,4574349,1768846,328193,1428797,4005319,1484198,2051832,117755,1601786,1181327,267117,286467,1057554
40-44岁,小计,124753964,1656355,1067997,6303869,3204150,2508659,4158958,2893132,3992113,1877736,7966614,5475518,6229450,3426578,3780745,9326952,8331878,5616356,6403343,8864774,3793212,730966,2725931,7819390,2971556,4068439,227977,3390021,2663227,559044,576333,2142691
40-44岁,男,63608678,884231,586050,3191301,1657285,1324061,2120659,1482282,2053208,1001047,3924609,2793988,3078803,1751557,1913047,4683874,4087217,2862689,3272744,4588317,1997311,391670,1372752,3970327,1541384,2142791,118900,1752844,1348508,295724,295336,1124162
40-44岁,女,61145286,772124,481947,3112568,1546865,1184598,2038299,1410850,1938905,876689,4042005,2681530,3150647,1675021,1867698,4643078,4244661,2753667,3130599,4276457,1795901,339296,1353179,3849063,1430172,1925648,109077,1637177,1314719,263320,280997,1018529
45-49岁,小计,105594553,1628804,1097110,5644591,2848258,2239534,4266446,2614467,3656130,1800678,6525182,4726043,4927826,2781033,3049892,8075051,6859450,5108599,5350689,7046805,3290568,665487,2201456,5934098,2317950,3345400,187860,2957295,2039894,422732,445356,1539869
45-49岁,男,53776418,861742,583532,2824442,1469270,1173609,2164862,1328918,1860562,956736,3255929,2428602,2462328,1419803,1540906,4008907,3329233,2610967,2732405,3687090,1718836,358251,1106618,3014140,1191817,1739981,97943,1529697,1042022,223728,231469,822073
45-49岁,女,51818135,767062,513578,2820149,1378988,1065925,2101584,1285549,1795568,843942,3269253,2297441,2465498,1361230,1508986,4066144,3530217,2497632,2618284,3359715,1571732,307236,1094838,2919958,1126133,1605419,89917,1427598,997872,199004,213887,717796
50-54岁,小计,78753171,1347008,998655,4794727,2325620,1813660,3842788,2150509,3020706,1802722,4938416,3497645,2558528,2126496,2471918,6253297,4915502,3699126,3649926,4898765,2377129,440224,1533112,4142765,1587809,2133490,120934,2488577,1263287,241896,292737,1025197
50-54岁,男,40363234,691118,518506,2446341,1213929,941694,1936408,1088849,1527085,932637,2510290,1817064,1324934,1097620,1256966,3163552,2431122,1893401,1892152,2553947,1224675,235387,794808,2134376,811287,1095569,61715,1287971,659318,127841,151258,541414
50-54岁,女,38389937,655890,480149,2348386,1111691,871966,1906380,1061660,1493621,870085,2428126,1680581,1233594,1028876,1214952,3089745,2484380,1805725,1757774,2344818,1152454,204837,738304,2008389,776522,1037921,59219,1200606,603969,114055,141479,483783
55-59岁,小计,81312474,1204596,918527,4807022,2048755,1514664,3514930,2005362,2678333,1723410,5429570,3338440,3641290,1954524,2297310,6634801,5680391,3689032,4064307,4399245,2398317,394981,2189164,5725272,1818258,2146376,93828,2269642,1359297,232793,293466,846571
55-59岁,男,41082938,597114,466531,2421123,1056489,770719,1758634,1000457,1327094,872884,2742953,1701943,1846009,989791,1167310,3333497,2823720,1882390,2082980,2246294,1224627,206800,1102901,2866005,913554,1084950,47199,1153183,694781,118916,148324,433766
55-59岁,女,40229536,607482,451996,2385899,992266,743945,1756296,1004905,1351239,850526,2686617,1636497,1795281,964733,1130000,3301304,2856671,1806642,1981327,2152951,1173690,188181,1086263,2859267,904704,1061426,46629,1116459,664516,113877,145142,412805
60-64岁,小计,58667282,751256,582297,3422528,1412582,968236,2241311,1324710,1819301,1138342,4015991,2476958,2846985,1300258,1710957,4700775,4108866,2772064,3136492,3066241,1783313,282564,1642926,4304402,1435091,1579853,77457,1612982,1075283,177215,206508,693538
60-64岁,男,29834426,368042,292086,1714865,724311,488645,1111493,653182,891861,587260,2038145,1265067,1475884,677823,878288,2344826,2069949,1428267,1631170,1598914,915051,150197,853362,2221048,725019,798070,37447,819821,541662,87431,102752,342488
60-64岁,女,28832856,383214,290211,1707663,688271,479591,1129818,671528,927440,551082,1977846,1211891,1371101,622435,832669,2355949,2038917,1343797,1505322,1467327,868262,132367,789564,2083354,710072,781783,40010,793161,533621,89784,103756,351050
65-69岁,小计,41113282,516364,370879,2089275,937484,663946,1542718,837251,1154779,665353,2878272,1520657,2207841,910859,1143769,3146472,2803020,1923354,2104528,2167799,1406191,193406,1267179,3295231,1131419,1233417,60450,1219790,855738,144094,159952,561795
65-69岁,男,20748471,243021,180747,1045994,478457,326461,759576,405421,553702,338727,1454528,784795,1150478,475129,582238,1566196,1392429,982209,1099436,1111111,698327,96884,661826,1693975,563949,609900,28057,607488,431452,69039,78250,278669
65-69岁,女,20364811,273343,190132,1043281,459027,337485,783142,431830,601077,326626,1423744,735862,1057363,435730,561531,1580276,1410591,941145,1005092,1056688,707864,96522,605353,1601256,567470,623517,32393,612302,424286,75055,81702,283126
70-74岁,小计,32972397,504005,295616,1648584,783578,590293,1260721,680192,975703,523047,2272319,1320843,1607207,795172,990367,2496437,2091708,1428361,1879283,1911014,1171256,201972,911246,2408632,907116,1004041,43068,945882,648464,109187,122752,444331
70-74岁,男,16403453,235799,140939,823844,396370,296727,607155,335655,477163,251633,1119522,679934,825287,400388,490625,1223554,1021455,710557,960089,951903,569394,98021,466956,1222331,442553,489016,19220,464072,325137,53509,61392,243253
70-74岁,女,16568944,268206,154677,824740,387208,293566,653566,344537,498540,271414,1152797,640909,781920,394784,499742,1272883,1070253,717804,919194,959111,601862,103951,444290,1186301,464563,515025,23848,481810,323327,55678,61360,201078
75-79岁,小计,23852133,386374,231770,1196136,571778,372560,905172,429609,593894,555109,1730639,1167148,1194893,603599,669606,1965207,1572918,1043510,1306861,1493634,859470,151338,629562,1588550,564064,694259,26484,597003,383537,63887,72794,230768
75-79岁,男,11278859,187209,110826,559163,277902,188701,430172,208878,298518,248892,794443,570340,573513,282423,314505,895661,714570,493262,631505,682950,392390,71080,304833,771359,266704,324807,11049,290914,188730,31124,36997,125439
75-79岁,女,12573274,199165,120944,636973,293876,183859,475000,220731,295376,306217,936196,596808,621380,321176,355101,1069546,858348,550248,675356,810684,467080,80258,324729,817191,297360,369452,15435,306089,194807,32763,35797,105329
80-84岁,小计,13373198,199673,134304,656732,281068,166815,525299,232870,300777,351530,1035707,679706,685491,379313,370766,1158994,873698,516297,730300,903014,490626,90666,371516,962223,289384,383530,14981,272582,144438,26186,31877,112835
